t,PWM,SPEED
15.15,191,62.86
15.2,191,62.86
15.25,191,65.71
15.3,191,62.86
15.35,191,65.71
15.4,0,20
15.45,0,0
15.5,0,0
15.55,0,0
15.6,0,0
15.65,0,0
15.7,0,0
15.75,0,0
15.8,0,0
15.85,0,0
15.9,0,0
15.95,191,34.29
16,191,57.14
16.05,191,62.86
16.1,191,60
16.15,191,65.71
16.2,191,62.86
16.25,191,62.86
16.3,191,62.86
16.35,191,65.71
16.4,191,62.86
16.45,191,65.71
16.5,0,20
16.55,0,0
16.6,0,0
16.65,0,0
16.7,0,0
16.75,0,0
16.8,0,0
16.85,0,0
16.9,0,0
16.95,0,0
17,0,0
17.05,191,37.14
17.1,191,60
17.15,191,60
17.2,191,62.86
17.25,191,65.71
17.3,191,62.86
17.35,191,65.71
17.4,191,62.86
17.45,191,62.86
17.5,191,60
17.55,191,62.86
17.6,0,17.14
17.65,0,0
17.7,0,0
17.75,0,0
17.8,0,0
17.85,0,0
17.9,0,0
17.95,0,0
18,0,0
18.05,0,0
18.1,0,0
18.15,191,37.14
18.2,191,60
18.25,191,65.71
18.3,191,62.86
18.35,191,62.86
18.4,191,65.71
18.45,191,62.86
18.5,191,65.71
18.55,191,62.86
18.6,191,60
18.65,191,62.86
18.7,0,22.86
18.75,0,0
18.8,0,0
18.85,0,0
18.9,0,0
18.95,0,0
19,0,0
19.05,0,0
19.1,0,0
19.15,0,0
19.2,0,0
19.25,191,37.14
19.3,191,60
19.35,191,65.71
19.4,191,62.86
19.45,191,62.86
19.5,191,62.86
19.55,191,60
19.6,191,62.86
19.65,191,62.86
19.7,191,62.86
19.75,191,62.86
19.8,0,22.86
19.85,0,0
19.9,0,0
19.95,0,0
20,0,0
20.05,0,0
20.1,0,0
20.15,0,0
20.2,0,0
20.25,0,0
20.3,0,0
20.35,191,37.14
20.4,191,60
20.45,191,65.71
20.5,191,62.86
