t,PWM,SPEED
15.5,0,0
15.55,0,0
15.6,0,0
15.65,0,0
15.7,0,0
15.75,0,0
15.8,0,0
15.85,0,0
15.9,0,0
15.95,63,11.43
16,63,20
16.05,63,17.14
16.1,63,17.14
16.15,63,17.14
16.2,63,17.14
16.25,63,17.14
16.3,63,17.14
16.35,63,14.29
16.4,63,17.14
16.45,63,17.14
16.5,0,2.86
16.55,0,0
16.6,0,0
16.65,0,0
16.7,0,0
16.75,0,0
16.8,0,0
16.85,0,0
16.9,0,0
16.95,0,0
17,0,0
17.05,63,11.43
17.1,63,17.14
17.15,63,17.14
17.2,63,20
17.25,63,17.14
17.3,63,17.14
17.35,63,20
17.4,63,17.14
17.45,63,20
17.5,63,17.14
17.55,63,20
17.6,0,5.71
17.65,0,0
17.7,0,0
17.75,0,0
17.8,0,0
17.85,0,0
17.9,0,0
17.95,0,0
18,0,0
18.05,0,0
18.1,0,0
18.15,63,11.43
18.2,63,17.14
18.25,63,20
18.3,63,17.14
18.35,63,20
18.4,63,20
18.45,63,17.14
18.5,63,20
18.55,63,20
18.6,63,17.14
18.65,63,20
18.7,0,5.71
18.75,0,0
18.8,0,0
18.85,0,0
18.9,0,0
18.95,0,0
19,0,0
19.05,0,0
19.1,0,0
19.15,0,0
19.2,0,0
19.25,63,11.43
19.3,63,20
19.35,63,20
19.4,63,17.14
19.45,63,20
19.5,63,20
19.55,63,17.14
19.6,63,20
19.65,63,17.14
19.7,63,20
19.75,63,17.14
19.8,0,5.71
19.85,0,0
19.9,0,0
19.95,0,0
20,0,0
20.05,0,0
20.1,0,0
20.15,0,0
20.2,0,0
20.25,0,0
20.3,0,0
20.35,63,11.43
20.4,63,17.14
20.45,63,17.14
20.5,63,17.14
