t,PWM,SPEED
5.800,0.000,0.000
5.850,0.000,0.000
5.900,0.000,0.000
5.950,0.000,0.000
6.000,0.000,0.000
6.050,255.000,51.430
6.100,255.000,82.860
6.150,255.000,88.570
6.200,255.000,88.570
6.250,255.000,85.710
6.300,255.000,88.570
6.350,255.000,88.570
6.400,255.000,85.710
6.450,255.000,88.570
6.500,255.000,85.710
6.550,255.000,85.710
6.600,0.000,28.570
6.650,0.000,0.000
6.700,0.000,0.000
6.750,0.000,0.000
6.800,0.000,0.000
6.850,0.000,0.000
6.900,0.000,0.000
6.950,0.000,0.000
7.000,0.000,0.000
7.050,0.000,0.000
7.100,0.000,0.000
7.150,255.000,51.430
7.200,255.000,82.860
7.250,255.000,85.710
7.300,255.000,88.570
7.350,255.000,88.570
7.400,255.000,88.570
7.450,255.000,88.570
7.500,255.000,85.710
7.550,255.000,88.570
7.600,255.000,88.570
7.650,255.000,88.570
7.700,0.000,28.570
7.750,0.000,0.000
7.800,0.000,0.000
7.850,0.000,0.000
7.900,0.000,0.000
7.950,0.000,0.000
8.000,0.000,0.000
8.050,0.000,0.000
8.100,0.000,0.000
8.150,0.000,0.000
8.200,0.000,0.000
8.250,255.000,54.290
8.300,255.000,82.860
8.350,255.000,85.710
8.400,255.000,85.710
8.450,255.000,88.570
8.500,255.000,88.570
8.550,255.000,85.710
8.600,255.000,88.570
8.650,255.000,88.570
8.700,255.000,88.570
8.750,255.000,85.710
8.800,0.000,28.570
8.850,0.000,0.000
8.900,0.000,0.000
8.950,0.000,0.000
9.000,0.000,0.000
9.050,0.000,0.000
9.100,0.000,0.000
9.150,0.000,0.000
9.200,0.000,0.000
9.250,0.000,0.000
9.300,0.000,0.000
9.350,255.000,51.430
9.400,255.000,82.860
9.450,255.000,88.570
9.500,255.000,88.570
9.550,255.000,85.710
9.600,255.000,88.570
9.650,255.000,85.710
9.700,255.000,88.570
9.750,255.000,85.710
9.800,255.000,88.570
9.850,255.000,88.570
9.900,0.000,28.570
9.950,0.000,0.000
10.000,0.000,0.000
10.050,0.000,0.000
10.100,0.000,0.000
10.150,0.000,0.000
10.200,0.000,0.000
10.250,0.000,0.000
10.300,0.000,0.000
