t,PWM,SPEED
14.9,255,82.86
14.95,255,85.71
15,255,85.71
15.05,255,85.71
15.1,255,82.86
15.15,255,85.71
15.2,255,85.71
15.25,255,85.71
15.3,255,88.57
15.35,255,85.71
15.4,0,28.57
15.45,0,2.86
15.5,0,0
15.55,0,0
15.6,0,0
15.65,0,0
15.7,0,0
15.75,0,0
15.8,0,0
15.85,0,0
15.9,0,0
15.95,255,48.57
16,255,80
16.05,255,82.86
16.1,255,85.71
16.15,255,88.57
16.2,255,85.71
16.25,255,85.71
16.3,255,85.71
16.35,255,82.86
16.4,255,85.71
16.45,255,88.57
16.5,0,28.57
16.55,0,0
16.6,0,0
16.65,0,0
16.7,0,0
16.75,0,0
16.8,0,0
16.85,0,0
16.9,0,0
16.95,0,0
17,0,0
17.05,255,48.57
17.1,255,82.86
17.15,255,85.71
17.2,255,85.71
17.25,255,85.71
17.3,255,85.71
17.35,255,85.71
17.4,255,88.57
17.45,255,85.71
17.5,255,85.71
17.55,255,82.86
17.6,0,28.57
17.65,0,0
17.7,0,0
17.75,0,0
17.8,0,0
17.85,0,0
17.9,0,0
17.95,0,0
18,0,0
18.05,0,0
18.1,0,0
18.15,255,48.57
18.2,255,80
18.25,255,85.71
18.3,255,85.71
18.35,255,88.57
18.4,255,85.71
18.45,255,88.57
18.5,255,85.71
18.55,255,85.71
18.6,255,85.71
18.65,255,88.57
18.7,0,28.57
18.75,0,0
18.8,0,0
18.85,0,0
18.9,0,0
18.95,0,0
19,0,0
19.05,0,0
19.1,0,0
19.15,0,0
19.2,0,0
19.25,255,48.57
19.3,255,80
19.35,255,82.86
19.4,255,85.71
19.45,255,85.71
19.5,255,85.71
19.55,255,85.71
19.6,255,88.57
19.65,255,88.57
19.7,255,85.71
19.75,255,85.71
19.8,0,28.57
19.85,0,0
19.9,0,0
19.95,0,0
20,0,0
20.05,0,0
20.1,0,0
20.15,0,0
20.2,0,0
20.25,0,0
20.3,0,0
20.35,255,48.57
20.4,255,80
20.45,255,85.71
20.5,255,88.57
